deployment_id,range,dist_cov
Day 5:105:D2D34T105,145.44,4.43557997328547
Day 5:105:D2D34T105,306.71,4.43557997328547
Day 5:105:D2D34T105,158.55,4.43557997328547
Day 5:105:D2D34T105,387.53,4.43557997328547
Day 5:105:D2D34T105,178.44,4.43557997328547
Day 5:105:D2D34T105,177.06,4.43557997328547
Day 5:105:D2D34T105,177.1,4.43557997328547
Day 5:105:D2D34T105,380.13,4.43557997328547
Day 5:105:D2D34T105,466.08,4.43557997328547
Day 5:105:D2D34T105,359.52,4.43557997328547
Day 5:105:D2D34T105,298.24,4.43557997328547
Day 5:105:D2D34T105,232.25,4.43557997328547
Day 5:105:D2D34T105,169.11,4.43557997328547
Day 5:105:D2D34T105,545.85,4.43557997328547
Day 5:105:D2D34T105,157.11,4.43557997328547
Day 5:105:D2D34T105,248.84,4.43557997328547
Day 5:105:D2D34T105,345.17,4.43557997328547
Day 5:105:D2D34T105,383.29,4.43557997328547
Day 5:105:D2D34T105,492.73,4.43557997328547
Day 5:105:D2D34T105,486.39,4.43557997328547
Day 5:105:D2D34T105,291.73,4.43557997328547
Day 5:105:D2D34T105,252.35,4.43557997328547
Day 5:105:D2D34T105,422.25,4.43557997328547
Day 5:105:D2D34T105,177.04,4.43557997328547
Day 5:105:D2D34T105,430.47,4.43557997328547
Day 5:105:D2D34T105,429.82,4.43557997328547
Day 5:105:D2D34T105,427.62,4.43557997328547
Day 5:105:D2D34T105,423.2,4.43557997328547
Day 5:105:D2D34T105,139.18,4.43557997328547
Day 5:105:D2D34T105,219.5,4.43557997328547
Day 5:105:D2D34T105,144.55,4.43557997328547
Day 5:105:D2D34T105,329.88,4.43557997328547
Day 5:105:D2D34T105,132.47,4.43557997328547
Day 5:105:D2D34T105,128.33,4.43557997328547
Day 5:105:D2D34T105,164.6,4.43557997328547
Day 5:105:D2D34T105,269.29,4.43557997328547
Day 5:105:D2D34T105,196.91,4.43557997328547
Day 5:105:D2D34T105,353.16,4.43557997328547
Day 5:105:D2D34T105,143.23,4.43557997328547
Day 5:105:D2D34T105,329.37,4.43557997328547
Day 5:105:D2D34T105,188.5,4.43557997328547
Day 5:105:D2D34T105,151.51,4.43557997328547
Day 5:105:D2D34T105,263,4.43557997328547
Day 5:105:D2D34T105,369.98,4.43557997328547
Day 5:105:D2D34T105,278.21,4.43557997328547
Day 5:105:D2D34T105,286.59,4.43557997328547
Day 5:105:D2D34T105,159.52,4.43557997328547
Day 5:105:D2D34T105,207.18,4.43557997328547
Day 5:105:D2D34T105,336,4.43557997328547
Day 5:105:D2D34T105,462.9,4.43557997328547
Day 5:105:D2D34T105,176.46,4.43557997328547
Day 5:105:D2D34T105,150.55,4.43557997328547
Day 5:105:D2D34T105,158.14,4.43557997328547
Day 5:105:D2D34T105,165.9,4.43557997328547
Day 5:105:D2D34T105,164.51,4.43557997328547
Day 5:105:D2D34T105,140.2,4.43557997328547
Day 5:105:D2D34T105,194.47,4.43557997328547
Day 5:105:D2D34T105,193.47,4.43557997328547
Day 5:105:D2D34T105,173.16,4.43557997328547
Day 5:105:D2D34T105,170.3,4.43557997328547
Day 5:105:D2D34T105,150.86,4.43557997328547
Day 5:105:D2D34T105,143.17,4.43557997328547
Day 5:105:D2D34T105,209.5,4.43557997328547
Day 5:105:D2D34T105,141.57,4.43557997328547
